이름,lat,lang
공차,37.374188874272,127.8727126241
한자루체험농원휴앤아크,37.946791836617,128.38851412049
카페아지,38.163420745766,128.5784662112
오슈,37.684991739807,127.87371404189
씨즐,37.770586097919,128.95018531766
피그놀리아커피,37.790994134275,128.9114007865
달달하게,37.875756339725,127.75179429005
화이트클라우드,37.288833252301,127.93757150962
쥐쥐쥐에이치,37.763893623045,128.88391962023
딜리셔슈,38.211370449584,128.58933964837
카페보다,37.44587788719,128.66707335596
뉴커피,37.765453070112,128.95095953365
횡계2리,37.68901672446,128.71390717687
카페퍼즐,37.877822387636,127.72851810275
딸기다방,37.227119501043,128.81783476709
카페라이,37.695437857796,127.90565136023
구름커피,37.732738440428,127.94287337302
메가엠지씨커피동해천곡점,37.525141386903,129.1067623297
메가엠지씨커피삼척,37.44301627886,129.16434972629
피크닉,37.88091320943,128.827432117
커피베이강릉송정,37.77848106922,128.93868472137
맘스빈무인까페,37.274322885681,128.01320137848
다올,37.859604929527,127.74525693576
모란찻집,38.103490873783,127.70657945318
사농동334,37.915249633483,127.72024874413
카페랑,37.768051636289,128.9035484625
달콤창고,37.806944194597,127.99128643053
카페bless한솔정보통신,37.718111408678,128.81139422961
떼네도르,38.061663954719,128.16556796263
비엔나커피하우스,37.688482618239,127.88628257973
미스터머스터쉬,37.856795103583,127.70710542509
흙다방,37.691602153575,127.8882394686
이디야춘천중앙역,37.864413656567,127.72403249151
얼음보숭이,38.187368480333,128.58032217883
고유,37.875860938718,127.7677307455
로드32,37.637543827952,128.55768613982
스퀘어루트,38.375275619456,128.50565479568
어쩌다마주친카페,37.765671826281,128.87017323617
커피스푼,37.376045495093,127.88171998935
김수영을위하여,37.580480695959,129.11276633101
메가마트강원대농생대카페,37.86567979551,127.74614527601
명야다방,37.354808277965,127.94637813792
아씨다방,38.074468899764,128.62214771151
레드브릭,37.876320025868,127.73750375093
강남셀프세차/트라움아우토카페,37.742646995734,128.90418130712
볼타커피,37.317839044557,127.95467459216
일리일리,37.693511271955,127.88705731409
길성다방,37.270145328247,128.26806121457
째즈,37.33292628555,127.92442198399
카페상생춘천지역자활센터,37.880085885478,127.729351015
이디야문막극동점,37.314442142515,127.82155869748
그랜드이,38.200453727111,128.59410401811
호미빙.T,37.690351456443,127.88084842231
라피커피,37.754865093968,128.89825862582
카페시월,37.683915564912,127.87011042745
봄봄카페,37.816842115687,127.71397599748
더드림,37.323297532005,127.94907471514
이디야춘천,37.85787729262,127.74634250197
농부김베리마켓,37.761705648872,128.89327952195
달달마켓,37.472781239914,128.72272150953
오늘,37.412179092954,127.83586607517
오늘산책,37.879990038961,127.73877529117
폴랑,37.447296487962,129.17071096675
쉼표,37.859737944204,127.74015372133
로지로스터리,37.758597572205,128.91784655004
아름다운사람들,37.369995109518,127.93468171075
카페바다역,38.372874023655,128.50891119108
금강찻집,37.347296107024,127.95372006659
카페100,37.332709721825,127.92395952119
역전다방,37.11665060154,129.0379220178
파인트리,37.966810969251,128.75284836139
이디야커피입암남부점,37.761300989596,128.91780050971
주문진다방,37.892856810141,128.82796371215
이루나,37.773909172094,128.9447906198
곰점,37.51633832617,129.11727680921
버드브리즈,37.353076125717,129.08635186491
로뎀에스프레소문막점,37.309760213593,127.81818533349
마카,38.185801476917,128.60166733895
텐카페,37.708245658291,128.19432336025
다알리아,37.881153261059,127.74744497001
카페31,37.157940744216,128.9881951176
카페하얀,37.353267668763,127.91591305996
카페슬로울리,37.890351589815,127.75113135425
카페921,37.562933892331,128.42374173272
977에스티,38.193363264184,128.57414788687
카페무지,37.885952164067,128.82581733251
메가엠지씨커피강릉교동택지점,37.763950382268,128.87753039653
쿼드,37.900235418358,127.72657096612
아이갓에브리싱,37.184364527787,128.46192678871
별다방,37.895457390603,128.83226793565
도자기카페길,37.843974784991,127.71500747369
탐앤탐스철원점,38.207028290696,127.21792502406
수수다방,37.753892456995,128.8922663737
달의궁전커피,37.350555868137,127.94825489456
카페1637,37.767591198423,128.90718629677
카페1001-8,38.107690779329,128.03312281847
커피드로잉,37.840282321824,128.87660479108
카페로잔,37.517565816536,129.11705755723
이층,37.347502888706,127.95252350846
설지,37.875268963043,127.72313947
제이에스모터스위드카페,37.356146140036,127.9366804675
아이갓에브리씽미리내도서관점,37.325244791355,127.98388379336
쁘띠몽마카롱,37.857797693474,127.74287662764
코나,38.207808795399,127.22149063105
새바람이오는그늘,37.74988824826,128.89036863629
앨리스앤커피,37.552404589797,129.11657011389
뉴욕쟁이디저트강원대점,37.874881393802,127.74295366756
휴가,37.814280954871,128.89552538575
수타사월인쉼터,37.699504967894,127.95829892609
더카페관설동치악고점,37.31609253228,127.95922244362
봉디브,38.252970801914,128.56495050861
빅피쳐,37.881614518834,127.73996320157
한송정카페,37.762562249283,128.93841540545
레옹,37.327290755422,127.98744912064
컴포즈커피,37.382595918881,127.87244998476
샘물카페,37.174018511102,128.99010484875
카페더글라스,37.323742879322,127.93814067199
카페바체프,37.774608886802,128.87639636017
계절따라,37.309286700013,129.29394101258
12안젤로,37.347778167213,127.92686769437
컴포즈커피,37.322426316233,127.95624022118
작은바다쉼터,37.463846307761,129.17549055303
헤븐리,37.876779014326,127.73726340829
커피브라운,37.7683067475,128.87693490035
보그,37.766479365623,128.87912659535
테라스,37.902699935498,127.75317072976
비비플로,37.767477891689,128.91368860479
국민통닭초당점,37.786739217207,128.91632122561
책봄,37.32349602876,127.97996879349
원주여성커뮤니티센터,37.355302289049,127.9429574455
커피다방,37.489813743828,127.98816833888
그래요거,37.882233555448,127.73875599916
