상호명,lat,lang
브라운힐스커피숍,36.4793276053135,127.255314807592
서울다방,36.6012443348221,127.301558278427
디펜스,36.6027379997394,127.288970244916
가배나루,36.4913667822571,127.321620855895
가비향,36.6757077359218,127.259322642408
목화다방,36.4969939688374,127.205396088604
호라이즌,36.5175168966018,127.231881985387
할리스커피세종,36.481304830402,127.289902766683
우주커피,36.5044128970329,127.27060267009
양지다실,36.679245937596,127.204297697387
유러브니팅커피,36.4882971994027,127.264425548275
스윗클라우드,36.5113799106597,127.248912217023
소담,36.4839325379433,127.293807214103
매머드익스프레스세종대명벨리온점,36.4986083832136,127.330442990706
보비스쿰카페테리아,36.4811602924765,127.309813361759
투썸플레이스세종,36.5041405586537,127.271755032846
향함가게,36.4798600162654,127.252542110519
호양,36.4537790905837,127.26422728753
카페잎새달,36.4782233414386,127.290020157618
요거프레소홍대,36.6170821163345,127.28694923001
중앙다실,36.6792791413003,127.203872196531
동백다방,36.6001479020969,127.300539875413
쉼터닭갈비,36.5050150817393,127.2343832855
바이핸커피,36.5081338030657,127.260174307327
노이,36.4958377012634,127.304548616974
에떼,36.512848561677,127.258946007369
하늘정원까페,36.5190495704836,127.234780979865
단콩,36.6138692733967,127.289203432233
스노우마운틴,36.5073862555746,127.258797129107
이디아커피세종시어진동점,36.5076363781158,127.262802505603
카페플로랑스,36.4839325379433,127.293807214103
다락,36.6017110812179,127.289046732412
로터슨,36.5041405586537,127.271755032846
백씨네가게,36.4632440849544,127.280840377961
커피아노,36.5923719635943,127.297726672992
코이쿠킹,36.6007943098325,127.297057956947
커피나무,36.6001965936055,127.298091666173
커피하우스,36.6056877958466,127.297047090338
더비,36.6014169659899,127.297197611664
나남,36.6003877982841,127.227037543564
포앵제로커피로스터,36.5044128970329,127.27060267009
에브리선데이커피,36.6022977645311,127.233926050308
113+울라,36.495999574318,127.263928556671
꼬세르아마노,36.4432382144821,127.244583458942
엔젤리너스,36.6037318035889,127.292414982505
엄마호두앤카페,36.6908815193463,127.156049406966
알라메다,36.5043343620215,127.2492258694
이디야아름동점,36.5119458854304,127.24862764127
커피생각,36.5044128970329,127.27060267009
세종다방,36.5300166524062,127.366878171988
파스쿠찌세종,36.4745620224977,127.255617056436
홍커피,36.6138904957157,127.289739829454
더코너,36.5142974242458,127.258608419875
양지다방,36.4651033302493,127.281291826101
카페,36.4829070900847,127.259923168035
세종시다문화센터협동조합커피다비다&가게,36.4787773948265,127.30607371777
세종소상공인협동조합,36.6008621129315,127.30092462755
콩카페세종시니어클럽,36.4850934222532,127.252112386544
카페잇국책,36.4958377012634,127.304548616974
대운다방,36.5442397358937,127.276863061706
오뜨몽드,36.595500019042,127.27974911706
예다원찻집,36.7238259159023,127.158196727013
에클레시아,36.5947086986503,127.29359264413
콜다방,36.4669931659522,127.282334379683
이희원커피로스터즈,36.477412747909,127.29010566727
디앤씨네트웍스,36.4773605806259,127.288912091981
메가엠지씨커피세종대평점,36.4748457797821,127.276849878868
카페민트,36.4778047804469,127.287836729529
커피디,36.4717670502289,127.286407878691
원더커피,36.4845131864594,127.258780696483
디저트39세종대평점,36.4710339606144,127.275423532198
낮이,36.4665386851218,127.281691416229
카페베네세종리더스포레점,36.4882971994027,127.264425548275
더테라스,36.6042865497109,127.293259414706
아웃오브컴포트,36.4823753078601,127.261367872405
메가엠지씨커피세종,36.4783443910435,127.28915977212
테이크아웃커피,36.7318102221532,127.16843226405
세종국수,36.482566029823,127.260149613245
헬로커피,36.6022495237434,127.299313751652
베리힐,36.4848539665069,127.258509600513
빽다방세종한뜰마을,36.5008056879727,127.255633834891
더맛있는과일&1L커피세종,36.483624618991,127.293553322608
바이올렛커피&브런치,36.4796421089652,127.255166722728
파스쿠찌세종아름점,36.5122839826256,127.24223837319
그양반네,36.4916617659479,127.269315909112
퀸즈더세종,36.6009947601729,127.302029968338
블루샥커피세종,36.4920480102077,127.303767710281
비비,36.5041405586537,127.271755032846
더블유비,36.495597498834,127.317576803905
투썸플레이스세종고운힐데스점,36.5016720669069,127.235867364626
썸머커피라운지,36.4867927856859,127.257252288041
아임일리터세종,36.5026751069501,127.247634423628
위치커피연동점,36.5567409297246,127.326333640628
씨엘,36.5114929425025,127.255442197835
계원용담,36.4225912120533,127.284103666952
위트러스트커피랩,36.5031133554671,127.223205515137
차스,36.6041766048518,127.291438468869
읍천리382,36.5110012042632,127.243177501926
다방,36.5913436274771,127.267617365883
컴포즈커피세종아름점,36.5119458854304,127.24862764127
크림당,36.4832408723183,127.262888601174
달리는커피세종나성점,36.482566029823,127.260149613245
에이치피에스협동조합,36.4920480102077,127.303767710281
꾸메문고두번째이야기,36.4721173859245,127.277232299278
파스쿠찌,36.5194358575924,127.235994200001
우리들의공간커피&펍,36.5365249868113,127.233514387471
카페세종리,36.4917666893393,127.271736949292
로트나인커피앤코,36.4773605806259,127.288912091981
카페.페레타,36.4764621300555,127.289377828321
홍정표임대,36.4980896465798,127.312130036683
더벤티세종나성점,36.490315169759,127.257028919922
메타45카페,36.4923018998416,127.260581617959
타샤의정원,36.477577282194,127.29049474517
파스쿠찌세종라온점,36.5134243357471,127.258784215072
투썸플레이스세종,36.6050013066351,127.292213366405
메가커피세종새롬점,36.485515829459,127.250490054363
디에떼에스프레소대평,36.4658957603666,127.281184092673
경순,36.4811217390434,127.289424561799
히스피HISFFEE나성점,36.4856147604362,127.259116179047
카페루트오,36.5203700346435,127.252576943859
디엠-카페브릿지기독교서점봄,36.4866365695244,127.251003809406
과일뜰,36.6011016934084,127.289622358881
