상호명,lat,lang
에프엠카페,37.5017966224649,126.770368950007
고매커피,37.2194952012085,127.110759594647
아이키친,37.4734672267724,127.142682595008
카페예이,37.3320535637061,127.248944457604
꼬뜨블렁쉬,37.6486149486124,126.876624994481
컴포즈커피하남감일백제로점,37.5046689589196,127.161214263875
디카프워크룸,37.7192652917342,126.707926511789
통나무집,37.2501116510543,126.985944392311
카페우이,37.8171886453212,127.095880972226
메가커피안산고잔역점,37.3147522325507,126.823963658768
커피상자,37.6738823235865,126.777260552937
서울쿠키컴퍼니,37.7260041593219,126.931982950053
매머드익스프레스평촌디지털엠파이어점,37.3929986456574,126.973756938248
포트캔커피의정부역점,37.7340798456271,127.049072797563
스토리카페앤스튜디오,37.7229556309142,126.563579499868
더맛나,37.2144929891725,127.099878174933
카페베네부천남부역점,37.4826369149801,126.784816419025
느티나무언덕,37.5222533181264,127.223838898682
애견카페하루,37.7276201250405,126.733906144632
레바아이카페,37.2073614472337,127.073668518212
커피컬쳐,37.0037715547741,127.277253179363
어컵오브커피,37.7246047854089,126.557705921593
빨콩,37.4844044528655,126.816922284632
오카방고LAB,37.3395891881991,127.122324008714
메가엠지씨커피수원율전점,37.2969339240597,126.969469105959
시나몬,37.7877541624741,127.16572240673
이십그램커피,37.7442921284976,127.094158716145
피아커커피미사,37.5615413020751,127.190549776362
바람의숨결,37.7840190197024,126.684265413944
이디야어룡점,37.7435763956592,127.086644645317
청정커피나무,37.0147354889716,127.019409753649
컴포즈커피수원영통,37.2590471898729,127.045156664192
신다래다방,37.1528762364415,127.069661657164
이디야커피,37.4488352335827,127.127118433393
리마커블커피로스터스,37.1816881015084,127.044059108836
유캔두잇오산대역점,37.1694600139962,127.064368807211
카페제네시스,37.9164554382815,127.058364333251
오엪오엪,37.6526371741441,126.89610173445
프로방스베이커리&카페,38.0757516181104,127.321461299046
진위커피로스터스,37.1200337819153,127.076972941977
슈피츠,37.497611404382,127.603855044761
메가엠지씨커피갈매초점,37.629700659365,127.115762779513
녹림,37.6534953185563,127.262299027003
케이카페엔베이커리,37.2356508862826,127.57505919701
레이크라이크,37.2759579901196,127.151264714449
이디야양근로점,37.4983459236352,127.481661637495
봉봉커피,37.2958550537501,127.631669950161
커스텀커피,37.2409320643176,127.062809830322
팬도로시수원,37.2959653937588,126.974151781931
쓰다가게,37.6588494999606,127.274237230205
티.마마너츠,37.7383184181894,127.090657585589
208커피,37.3335328539892,126.822395796244
태화다방,37.6278455537786,126.706746705692
카페오라,37.6396355346407,127.283964797879
신웨이레몬트리,37.3152881100244,127.08676402551
온커피,37.2100528529511,127.066413996421
루나아우라,37.6748399081819,126.754255811127
더홈,37.4236980060189,126.912294954968
더해피,37.6440565518395,126.79278609119
라포니카,37.6623108802993,126.789249009778
조븐샵,37.861076018947,127.17171538228
요거프레소안산,37.3441629729166,126.821247928392
테스터커피,37.3598872830588,126.9323504498
온정,37.2434780311395,127.014571688684
가배카페,36.9885250812427,127.116241348293
쥬씨차얌광교,37.2866608802033,127.064881951478
선다방,37.1537639042129,127.067950850495
나우커피부천,37.4655747846638,126.827076332873
카페마시다,37.8897722851328,127.204250629922
어라운드커피,37.2482382689184,127.042328575252
포크테일,37.1288436346749,127.506262222862
쏭다방,37.4462943122922,127.134482673245
동네찻집,37.3709877127573,126.948360563286
라쿠스205,37.114410891719,127.20914029785
오후커피,37.8470676536611,127.097254731808
멜로우시티,37.4773290727113,126.795303825456
우주라이크커피오산,37.1496682868213,127.075419623165
카페쿠나,37.4286161855429,127.126031272129
카페올리브,37.5262642329966,126.804156223875
루우커피,37.645492712552,126.624391307616
카페요새,37.6473995787356,126.680095824527
라플레이키즈,37.4734672267724,127.142682595008
컴어라운드,37.2881681073461,127.060634119
난다모코,37.2162519949649,126.947087194682
타타르,37.5104635541002,126.81343449874
커피에반하다,36.964160887052,127.046684627793
카페&스터디공율,37.2480039925928,127.078671894443
블랙시드,37.7349961832868,127.195097923045
더쉼,37.0023893240733,127.170595644188
딥스커피바,37.7250203141999,127.056391911656
카페일분,37.3292149707943,126.813199269615
빽다방산본,37.3598602238315,126.930352783622
라뷰,37.5769511801748,127.327190580786
포레스트아웃팅스,37.6656115013005,126.813473776594
다전1973/다전차문화교육원,37.2849024963967,127.012577012417
신신커피숍,37.4063603284384,126.913133016415
위드커피,37.3106794341291,127.081574017609
타요더카페,37.4494446763099,126.889420302292
고양이숲,37.714553834242,127.485285981133
컴포즈커피평택송탄출장소점,37.0664721892103,127.063296355819
카페365,37.8225645216005,127.098995828198
미토,37.5022213751703,126.76789647928
뉴앤드,37.4450313072707,126.788702243114
가은다방,37.8982302042845,127.202544985704
아콘트리,37.8266950117496,126.983262755289
베네하임,37.6406738734795,126.789770230182
미도리작업실,37.8950042553917,127.059683677973
수원숭이,37.2896424918537,126.977587187536
오렌지모터스앤카페,37.6577383033578,127.246469290844
달리는커피금릉점,37.7511196550523,126.767196325022
카페갤러리,37.2106277977255,127.062767910308
공간연출,37.4755959249014,127.469992509028
금,37.7404248582315,127.052656418851
봄봄지산점,37.0804775355433,127.063540212684
컴포즈커피용인동백역브릭스점,37.27031061851,127.15287281433
쉬베이크180℃,37.7198111941626,126.715006157261
해리스빈커피,37.650521245087,126.79145757334
10day커피숍,37.4264923344567,127.242646540688
리베로,37.319840448586,127.114272284812
아이비커피,37.2980554813838,126.930337583548
세렌디피티,37.5181155599421,127.196607432198
아더사이드,37.3995192654742,126.970290999588
메종모랫말,37.4216705303496,127.105764566107
소사이어티카페,37.4000041248618,126.921582695931
이디야진벌점,37.7447885212123,127.213509974487
몽마네쥬,37.2778010654928,126.998529409877
위클리커피하우스,37.4341941157133,127.134644626024
406카페,37.8287063643968,127.102135926155
다빈커피맥주,37.4870552729447,126.784258631028
맛나카페,37.2641366451616,127.046061993736
셀렉토커피평택송담점,36.9768066522031,126.925663484955
르삐끄니끄,37.384623316609,126.950665714517
카페담따,37.3219758712832,126.945038542307
위델컴퍼니,37.6646033447734,126.890404689605
만나가든,37.4335816118336,127.130990588227
카페세콩,37.4038418550016,126.917551854588
비엔나커피하우스이천도자기예술촌점,37.2932728738859,127.385261835421
카페이너프,37.7074251038965,126.902536397954
세니의다락방,37.7469813633708,127.043370362424
카페미카,37.3933475782342,126.855679473353
쿠이에,37.3220064446445,127.74920388293
온뜨,37.3147780772851,126.828385627458
헤브,37.011228576986,127.25611336265
카페테리아,37.5469683626372,127.32168853365
코너커피,37.8425440134942,127.067121732448
커피블로썸,37.5240155303771,127.599235314204
반즈,37.4786102766851,126.796357338197
해월,37.7399741106842,127.049269704849
카페본오다방,37.28522951141,126.859495246183
마실,37.2979757541522,126.973222143646
커피프리덤,37.323610562674,127.123220713827
수커피,37.1386192017167,127.068328021233
마음,37.8915199423338,127.058875303866
더불어숲,37.416077068576,127.255607541321
랑데자뷰시흥거북섬점,37.3202314327771,126.686155307069
더데이오브메이,37.2030521729982,127.12679138273
커피리프,37.3462763569585,127.173780663696
다소미에,37.2867114366549,127.015553204668
커피인,37.5279690679514,126.811482835932
이디야시흥장현지구점,37.3731953689545,126.796226096232
어뉴스토리,37.2532745518872,127.078562626168
아마스빈평촌학원가점,37.3835466189177,126.959341674693
더달달,37.6857104937609,127.205857574888
프룻팡,37.3017897069698,126.993428772974
달리는커피,38.0245983927388,127.06823507297
에데니코,37.1981263903704,127.076135635838
스탠딩얼론,37.2691491842405,127.091042309819
이디야수내양지,37.3771042783539,127.11547366502
진다방,37.8968648559007,127.203162335376
메가커피안산,37.308792260351,126.816340528435
벌툰수원,37.2959404265583,126.993281141285
작은박물관,37.4210961297698,126.929312875774
컴포즈커피수내,37.3770025528791,127.112719819501
아마스빈구리,37.5918800815152,127.139638874431
더벤티동탄더퍼스트,37.2076933869228,127.09799868387
부흥로일번지,37.294585117271,127.534619512143
만랩커피평택,37.0013616181085,127.114407496363
메가엠지씨커피의정부역점,37.7386130536224,127.043636901823
쿠잉,37.3847754604867,127.112266882056
"도서출판푸른사상사,북하우스파랑",37.7165816513287,126.691708553962
구일공,37.7608801440941,127.484068544191
카페낙,37.747726712721,127.041953715996
싸이렌,37.5363216929665,127.490960392731
반달커피수원,37.2948662273667,127.002634266872
미인다방,37.2368038526504,127.208314345111
카페이현,37.3103322616825,127.094991523947
카페420,37.6569459082047,127.128790537547
데미타스,37.729020549623,126.758839207998
앤티앤스,37.2518042298368,127.072594887193
헤이와,37.4010978163784,126.922944962751
비스타리,37.6425896667402,127.386043560119
커피로드,37.3475663458468,126.975797750104
위드에센스,37.3814231293743,127.127968149574
"오늘도,카페일리터",37.3959710713081,126.920014174846
뉴욕쟁이디저트,37.7212216731349,127.195428484367
카페게이트일산대화,37.6702074203886,126.734666888064
카페모어스,37.2068363501682,127.112181176128
메가MGC커피옥정,37.8202327670612,127.093367725863
작은카페,37.2143456166861,126.735628418984
뺑드포레,38.0687506045226,127.307496506385
느림목카페,37.736129599465,127.087246684118
몬스타커피,37.4582820387306,127.128828486345
메가엠지씨커피운정가람,37.7326941434999,126.750927408953
"플라워카페,꽃그리고나무",37.2347983138495,127.067720533686
카페고매,37.2221275389309,127.095438008626
옐로커피,37.7223134080992,126.834382618788
태평동커피집,37.440859687408,127.125753287817
맷커피METCOFFEE,37.6381650106683,126.874935513942
카페863,37.4763417502326,126.852719271268
투썸플레이스박달,37.4027192790973,126.910113417757
심심푸리만화카페,37.2803657800827,127.444784792481
파래쉬,37.5075926895661,126.751702109831
카페드플레르,37.7159712657597,126.763718539801
커피베이,37.6512349080018,126.888779128379
더벤티,37.4116336605115,127.127618064584
빨간벽돌집,37.6398571821661,126.847682581789
매머드커피랩,37.3942453664386,127.112211679412
문115,37.341926398803,127.18843233518
모손,37.4303762162315,127.127649190594
언타이카페,37.3602568777365,126.932367790828
홍코커피,37.8823292396509,127.050955220855
카페그리메,38.0790571495226,127.031925023826
송현주플라워&까페시모,37.3344344994642,126.732636521384
신풍산업,37.3848211627584,126.902964902606
테이티드비,37.2479513156984,127.042501283745
빽다방동탄솔빛나루점,37.1931780568302,127.072512708911
카페온,37.7256167888362,126.750501797867
내가그린집,37.6742944846236,126.777038409918
이레,37.5457113943025,127.320907754083
아마스빈수지고점,37.3321167372352,127.093319712588
모노,37.225375735596,127.072681973515
이디야커피금정신환,37.362140554842,126.941439846993
커피에반하다,37.4780507789261,126.780458729822
양다방,37.164622106076,127.373525568239
이디야커피,37.4031785476657,126.949910033587
에이카페아지트,37.4671332433952,127.139035680555
"카페,1091",37.5660782420884,127.188598978743
문스,37.6500441394129,126.645531979974
포님커피,37.2851035368669,127.450129413874
오캄메디,37.4422643427075,127.263100726551
투썸플레이스파주운정가람점,37.7343263170765,126.754462275205
이디야커피숍,37.3966427849332,126.966953458462
유운커피,37.2977983124061,127.22448180454
반달커피시흥,37.4458610178383,126.802035569172
옛길다방,37.5444907317983,127.318610258355
메가커피,37.3542406474562,126.723510729519
로그,37.5538638603479,127.240669078513
투썸플레이스안성,37.0125904546703,127.259179057711
블룸,37.3664891804269,126.95931765476
코지프로젝트,37.2770957357961,127.042887751318
채우다안양동편점,37.407440980518,126.971481581085
카페야,37.7467554782784,127.512444168826
더타이,37.4896076831758,127.492555387132
카페동네,37.4893492503085,126.814933285589
디저트39,37.3081648978307,126.83209803764
엘드림카페,37.2615659299201,127.475836446656
수커피,37.2898480348909,126.999531390723
더벤티부천,37.5053794634961,126.762291303832
봄뫼,37.2847874371622,127.012826615626
티앤씨커피,37.4712023995777,126.809567347043
바빈스커피구리,37.6097602484286,127.132716469552
티타임커피,37.4860678925137,127.16077774214
미루카페,37.7108631470489,126.596384576236
폴라리스컴퍼니,37.7952990405531,127.16492223106
도란도란,37.1289471975108,126.795908192926
트래블수,36.9936197462905,127.091601979489
아트0602,37.3523094867997,127.164210480832
