이름,lat,long
수헤어,126.90442011986,35.178690416924
몰카페,126.81866348769,35.213046957927
명품고로케NO.1,126.79424482636,35.152315069535
엄마손팥죽,126.89571244716,35.121138788034
여유드림24시무인셀프빨래방소태점,126.9341092633,35.126286972656
소보쿠,126.92725210186,35.147192896801
인쌩맥주문화전당점,126.9176856081,35.14529602655
덕영ENG,126.93150433836,35.176174125735
패밀리통신,126.90713325121,35.133447166755
춤추는오돌뼈,126.9071652974,35.131870018873
한길셀프세차장,126.90797873301,35.184320157577
본도시락광주첨단신용점,126.86124883133,35.2064873612
호초밥,126.81903271474,35.182232590305
레드문,126.89533166502,35.138775553184
초에,126.89656053085,35.118451345894
알피엠,126.91636285293,35.17387628053
오빠집비어,126.89503629039,35.150887534983
먼데이오프플리즈,126.92314434303,35.149112480152
새콤달콤이카페,126.86379592142,35.210486362791
토이조아장난감할인매장,126.84783783817,35.16459961326
스팀에듀STEAMEDU어학원,126.82374495938,35.174454494421
빛고을청아보리사랑,126.76151048912,35.141204434691
여수레저개발,126.87143839451,35.182813379791
열린세무법인,126.88719393841,35.174720520367
파랑새여행사,126.83714571268,35.143837773116
글로리옵틱,126.86917497546,35.171047258057
제일옷수선,126.88655024794,35.174426161992
메가엠지씨커피광주,126.92485962483,35.148866308852
엔티기획,126.89313848107,35.171890555314
씨유문흥현대점,126.92229924991,35.190713066256
전라도미가,126.93354834832,35.153314848272
원스탑리빙,126.85173317081,35.222441965021
김가네짬뽕,126.79397217876,35.140296982192
상운,126.85379921074,35.188768095059
영양족발,126.90067479906,35.15352581171
북스톤어학원,126.91131969686,35.12310980756
영광식육점,126.86476514915,35.147912546122
빛고을렌탈,126.82443297566,35.14342666247
샐러바웃,126.8448748255,35.153682699681
옥심이네갈비촌닭,126.89043211837,35.188478300555
패밀리애견,126.83673086844,35.212266449654
나라문화사,126.91900627139,35.144181075711
전라도공인중개사사무소,126.87336187344,35.211287845006
지에스25두암햇살점,126.93215206803,35.168617181925
떡보의하루,126.87702011352,35.177709354767
깻잎두마리치킨,126.78244731823,35.144913962377
럭키호스,126.82068899984,35.107028436125
투엑스원,126.91941323335,35.125841349879
제이에스피트니스,126.85951376628,35.178978974914
치대매점,126.92596003821,35.143629964161
해피홈,126.85885952961,35.159016210466
희석건축사사무소,126.91614727379,35.166131428719
커피톡,126.90314844955,35.113120800423
해태수산,126.89684628057,35.204581500304
월간맥주,126.8943308211,35.178688873939
엄마김밥나라,126.83504363923,35.186597086005
완강정,126.87628346178,35.14267468896
더코드,126.91258113487,35.172625516842
송하헤어살롱,126.89323634272,35.180869241621
라떼야커피광주현대,126.89800221543,35.185672006937
스와니커텐,126.89829424611,35.182745165357
상문이두마리숯불양념치킨쌍촌,126.86861760186,35.156601881814
닭꼬치브라더스,126.8791690034,35.165921129437
큰집닭강정,126.82409044619,35.189339576746
누리네식당,126.93580604099,35.183891826609
머시기쪽갈비,126.88858757893,35.102910585433
무등연탄석쇠불고기,126.89476975183,35.135696687731
천자물회,126.90905922446,35.187268410224
양촌추어탕,126.7739044722,35.099136888374
헤나의미,126.91768928963,35.178160715593
원형공인중개사사무소,126.72979054323,35.180482227036
구구,126.82497735458,35.17959529347
네일너에게,126.84645545147,35.214270409987
라임하우스,126.95378384806,35.20237368388
엘렌카페광주,126.90475993209,35.165632399177
애플모텔,126.86541062204,35.152010882864
샤인남성,126.9211333975,35.165103284401
도시스터디,126.92157786046,35.186307881356
씨유광주고룡점,126.78032840005,35.210386365884
더큰공인중개사사무소,126.87520303361,35.206798073238
황토생삼겹,126.82059094398,35.221024857566
술마시는초코렛유흥노래홀,126.85052133144,35.154087942242
텐텐,126.93504526861,35.17319466994
고기극찬광주,126.83727180425,35.189728249851
현대인테리어,126.82380383424,35.177988465516
즐겨찾기,126.83731256229,35.213065246146
대박호프,126.89652613516,35.12100197572
인네일,126.85317799794,35.14700119659
미밀,126.91510269497,35.176181565417
삼삼은포차다,126.77711766385,35.146870359935
아비즈,126.91919136834,35.154251267918
화미주아티클헤어쌍촌스마일점,126.86349546654,35.161087903051
어장관리수,126.92256893304,35.14863864116
펄,126.8955597826,35.178736141865
상무모텔,126.85975262082,35.150073872477
울림기능PT,126.9405475459,35.134915700192
성우전자,126.88159710387,35.157740961554
북광주동아간호학원,126.87981918227,35.210536521205
허진국어교습소,126.91304124127,35.123179342216
형님육회,126.9054808325,35.171633139128
매일수산,126.92073903294,35.171688923057
윈수학교습소,126.89750372897,35.207940625243
시매쓰효천센터학원,126.87673110836,35.106082383755
백운19,126.90407686052,35.133897303814
자담치킨,126.91595750497,35.16140645289
비에스시큐리티,126.80072122466,35.141012959348
지에스25전남대학교점,126.90501306033,35.172133688032
심야식당진테츠,126.89585638206,35.125106227224
하이난,126.87486050856,35.133638587345
해브어나이스도넛,126.87296051315,35.140931191305
부라더보쌈,126.90950995527,35.123895779342
씨유장덕영신점,126.812259152,35.189746913664
담소락,126.93764311223,35.170964007256
칸세이스시,126.85442685324,35.154206057756
한국별관,126.91585347232,35.15435665423
엔씨웨이브클라이드앤,126.91341722903,35.148556917095
덕이네국밥,126.90294783728,35.141990596408
줄리아나,126.84024235215,35.213255594564
식목일바틀,126.91234548986,35.158994411098
예쁜머리,126.89750372897,35.207940625243
아리야헤어,126.87023438745,35.211096453639
도리도리광주,126.907805366,35.182506809971
진정보통신,126.81178514743,35.16724392531
폼나는마을,126.90561127522,35.187291385123
눈부신하루를,126.92897029583,35.130802729507
이마트24광주고룡점,126.78092454116,35.209445933835
리온테크,126.86031235395,35.116214009191
